"V1" "SRR36_wt" "SRR38_wt" "SRR44_wt" "SRR59_del" "SRR66_del" "SRR71_del"
"1" "__alignment_not_unique" 0 0 0 0 0 0
"2" "__ambiguous" 254 263 326 237 342 249
"3" "__no_feature" 2788417 3119116 3299523 2203927 3086281 2687206
"4" "__not_aligned" 0 0 0 0 0 0
"5" "__too_low_aQual" 0 0 0 0 0 0
"6" "cds-NP_001018029.1" 2 4 3 3 4 5
"7" "cds-NP_001018030.1" 30 4 6 44 6 3
"8" "cds-NP_001018031.2" 60 134 121 77 73 57
"9" "cds-NP_001018032.1" 0 1 0 0 0 0
"10" "cds-NP_001018033.3" 1 0 3 7 4 3
"11" "cds-NP_001027023.1" 84 113 132 89 116 111
"12" "cds-NP_001027534.1" 0 0 1 1 1 0
"13" "cds-NP_001032571.3" 3 2 4 7 6 4
"14" "cds-NP_001032572.1" 0 1 0 0 1 0
"15" "cds-NP_001032573.1" 4 11 6 9 17 14
"16" "cds-NP_001032574.1" 0 0 0 0 0 0
"17" "cds-NP_001032575.1" 4 0 1 4 0 1
"18" "cds-NP_001032576.1" 1 0 2 1 3 0
"19" "cds-NP_001032577.1" 1 2 0 1 3 3
"20" "cds-NP_001032578.1" 4 11 7 5 5 7
"21" "cds-NP_001032579.1" 6 2 0 3 6 3
"22" "cds-NP_001032580.1" 1 8 3 3 6 4
"23" "cds-NP_001032581.1" 5 10 11 3 8 8
"24" "cds-NP_001032582.1" 1 1 1 2 1 5
"25" "cds-NP_001035220.1" 1 2 2 0 0 2
"26" "cds-NP_001073292.1" 0 0 0 0 0 0
"27" "cds-NP_001091638.1" 2 2 6 5 3 1
"28" "cds-NP_001106172.4" 3 0 9 5 10 4
"29" "cds-NP_001106949.1" 3 4 3 10 1 2
"30" "cds-NP_001254791.1" 0 0 0 0 1 0
"31" "cds-NP_001257667.1" 17 17 15 10 13 21
"32" "cds-NP_001257668.1" 3 1 1 3 3 2
"33" "cds-NP_001257669.1" 4 6 12 9 12 8
"34" "cds-NP_001257670.1" 2 0 1 0 1 0
"35" "cds-NP_001257671.1" 254 276 304 244 313 195
"36" "cds-NP_001257672.1" 2 1 0 0 1 0
"37" "cds-NP_001257673.1" 0 2 2 1 1 0
"38" "cds-NP_001257674.1" 2 1 6 5 7 5
"39" "cds-NP_001257675.1" 4 0 3 4 3 5
"40" "cds-NP_001257676.1" 105 151 140 101 128 132
"41" "cds-NP_001257677.1" 14 19 12 13 18 24
"42" "cds-NP_001257678.1" 6 10 21 18 29 19
"43" "cds-NP_001257679.1" 118 120 121 108 110 112
"44" "cds-NP_001257680.1" 11 13 9 15 33 27
"45" "cds-NP_001257681.1" 1 1 0 2 2 2
"46" "cds-NP_001257682.1" 2 1 1 2 1 1
"47" "cds-NP_001257683.1" 51 56 56 40 56 55
"48" "cds-NP_001257684.1" 1 1 2 4 2 0
"49" "cds-NP_001257685.1" 129 180 188 206 308 292
"50" "cds-NP_001257686.1" 113 117 135 214 294 264
"51" "cds-NP_001257687.1" 1 1 0 0 0 0
"52" "cds-NP_001257688.1" 18 16 19 9 10 5
"53" "cds-NP_001257689.1" 0 0 0 0 0 0
"54" "cds-NP_001257690.1" 0 1 1 0 0 0
"55" "cds-NP_001268465.1" 1 0 1 1 2 0
"56" "cds-NP_001288277.1" 45 54 35 22 39 24
"57" "cds-NP_001291943.1" 2 0 3 1 7 2
"58" "cds-NP_001291944.1" 0 0 2 1 0 0
"59" "cds-NP_001297596.1" 24 20 29 31 39 31
"60" "cds-NP_001333723.1" 47 40 45 54 75 77
"61" "cds-NP_001333724.1" 1 0 2 3 0 0
"62" "cds-NP_001333725.1" 10 9 11 12 31 22
"63" "cds-NP_001335736.1" 0 3 1 2 2 3
"64" "cds-NP_001335737.1" 2 3 4 2 1 5
"65" "cds-NP_001335738.1" 26 37 27 14 19 35
"66" "cds-NP_001335739.1" 8 9 7 13 14 13
"67" "cds-NP_001335740.1" 2 3 4 1 3 3
"68" "cds-NP_001335741.1" 0 0 1 4 3 2
"69" "cds-NP_001335742.1" 17 22 30 23 26 27
"70" "cds-NP_001335743.1" 25 18 29 36 43 38
"71" "cds-NP_001335744.1" 4 2 4 1 6 7
"72" "cds-NP_001335745.1" 1 2 5 5 4 4
"73" "cds-NP_001335746.1" 15 23 26 17 48 18
"74" "cds-NP_001335747.1" 8 6 5 3 7 8
"75" "cds-NP_001335748.1" 14 20 15 15 15 17
"76" "cds-NP_001335749.1" 0 0 1 0 1 1
"77" "cds-NP_001335750.1" 1 1 0 1 5 1
"78" "cds-NP_001335751.1" 10 7 20 26 32 16
"79" "cds-NP_001335752.1" 10 8 8 6 6 4
"80" "cds-NP_001335753.1" 10 16 14 14 13 9
"81" "cds-NP_001335754.1" 11 18 15 5 16 9
"82" "cds-NP_001335755.1" 92 101 86 59 87 81
"83" "cds-NP_001335756.1" 3 3 7 4 5 4
